,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4.0
1,1st Block Jayanagar,1630.0,3.0,194.0,3.0
2,1st Block Jayanagar,1875.0,2.0,235.0,2.0
3,1st Block Jayanagar,1200.0,2.0,130.0,2.0
4,1st Block Jayanagar,1235.0,2.0,148.0,2.0
5,1st Block Jayanagar,2750.0,4.0,413.0,4.0
6,1st Block Jayanagar,2450.0,4.0,368.0,4.0
7,1st Phase JP Nagar,2825.0,4.0,250.0,4.0
8,1st Phase JP Nagar,1875.0,3.0,167.0,3.0
10,1st Phase JP Nagar,2065.0,4.0,210.0,4.0
11,1st Phase JP Nagar,2024.0,3.0,157.0,3.0
12,1st Phase JP Nagar,2059.0,3.0,225.0,3.0
13,1st Phase JP Nagar,1394.0,2.0,100.0,2.0
14,1st Phase JP Nagar,1077.0,2.0,93.0,2.0
15,1st Phase JP Nagar,1566.0,2.0,180.0,2.0
16,1st Phase JP Nagar,840.0,2.0,50.0,2.0
17,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
18,1st Phase JP Nagar,2180.0,3.0,210.0,3.0
19,1st Phase JP Nagar,1180.0,2.0,88.5,2.0
20,1st Phase JP Nagar,1200.0,2.0,86.0,2.0
21,1st Phase JP Nagar,1394.0,2.0,85.0,2.0
22,1st Phase JP Nagar,2077.0,3.0,175.0,3.0
24,1st Phase JP Nagar,1205.0,2.0,85.0,2.0
25,1st Phase JP Nagar,2615.0,5.0,222.0,5.0
26,1st Phase JP Nagar,900.0,2.0,75.0,2.0
35,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
36,2nd Stage Nagarbhavi,3000.0,8.0,451.0,8.0
37,2nd Stage Nagarbhavi,2400.0,8.0,450.0,8.0
38,2nd Stage Nagarbhavi,1200.0,4.0,245.0,4.0
39,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
40,2nd Stage Nagarbhavi,1200.0,4.0,240.0,4.0
41,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
42,2nd Stage Nagarbhavi,1200.0,4.0,240.0,4.0
43,2nd Stage Nagarbhavi,1200.0,4.0,240.0,4.0
44,2nd Stage Nagarbhavi,1200.0,4.0,240.0,4.0
45,2nd Stage Nagarbhavi,1200.0,4.0,240.0,4.0
46,2nd Stage Nagarbhavi,1500.0,3.0,230.0,3.0
47,2nd Stage Nagarbhavi,1500.0,4.0,233.0,4.0
48,2nd Stage Nagarbhavi,1200.0,4.0,240.0,4.0
50,5th Block Hbr Layout,1270.0,2.0,70.0,2.0
55,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
59,5th Phase JP Nagar,1725.0,2.0,100.0,2.0
61,5th Phase JP Nagar,1700.0,2.0,100.0,2.0
64,5th Phase JP Nagar,600.0,1.0,30.0,1.0
68,5th Phase JP Nagar,1350.0,2.0,75.0,2.0
